# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-JobVac
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"Emp-JobVac";"TotComp";"Cap.BioRes";"Unum.LFT"
-5.933333333;1.17050495;-48.63273083;28.89399344
-5.933333333;-1.23335614;-18.54486996;83.48867989
-5.933333333;-1.174124954;7.339655467;46.0196691
-5.933333333;5.922890318;16.03778288;1.868905447
-5.933333333;6.246128545;-49.1928468;-13.4679714
19.5;7.436181667;10.71927726;-21.43630024
2;10.26972376;56.82345362;-4.755511182
8.1;8.406843382;121.9989615;-20.21306194
12.6;8.31429886;-1.54024064;-1.020408748
-1.7;7.946545432;-0.308761111;-7.281715352
-2;7.024066561;-6.225806616;6.194671314
-4.1;7.745000054;-28.94395121;17.93657557
-4;3.983600993;-50.62776606;4.98903716
2.6;9.161472121;-20.0139831;-1.696586593
-3.7;3.382444541;7.968390998;-10.58279064
-3.1;-1.542204757;44.03322984;31.89476441
-10.1;3.9917162;-37.3827099;0.977503512
-15.1;1.224631839;-18.25713714;11.68689224
-6.4;2.372727229;-3.671621904;23.18704713
-3.3;3.180801868;-20.60360834;-1.133257197
-1;4.25199754;-24.00720389;10.95958965
4.4;2.377082606;-24.07806431;7.277554484
3.4;2.297529167;-3.420912726;3.464746744
-1;3.647978833;14.45940565;10.5343903
4.5;0.527398089;-19.39773998;-4.480810789
